OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00378,CUST0176,2025-09-01,Canvas Print,34.08
ORDER00772,CUST0231,2025-09-01,Photo Book,20.2
ORDER00792,CUST0133,2025-09-01,Greeting Card,5.56
ORDER00043,CUST0104,2025-09-02,Canvas Print,32.64
ORDER00187,CUST0166,2025-09-02,Canvas Print,45.37
ORDER00248,CUST0120,2025-09-03,Photo Book,27.55
ORDER00425,CUST0146,2025-09-03,Business Card,13.22
ORDER00798,CUST0284,2025-09-03,Canvas Print,46.64
ORDER00018,CUST0069,2025-09-04,Poster,16.17
ORDER00068,CUST0038,2025-09-05,Business Card,10.97
ORDER00294,CUST0122,2025-09-05,Photo Book,20.02
ORDER00424,CUST0158,2025-09-06,Business Card,13.42
ORDER00741,CUST0096,2025-09-06,Canvas Print,45.49
ORDER00956,CUST0172,2025-09-06,Canvas Print,37.98
ORDER00653,CUST0102,2025-09-07,Poster,16.64
ORDER00716,CUST0119,2025-09-07,Business Card,10.19
ORDER00894,CUST0199,2025-09-07,Flyer,9.13
ORDER00381,CUST0223,2025-09-08,Greeting Card,5.14
ORDER00778,CUST0066,2025-09-08,Canvas Print,46.05
ORDER00025,CUST0060,2025-09-09,Business Card,10.42
ORDER00402,CUST0170,2025-09-09,Business Card,10.89
ORDER00534,CUST0082,2025-09-09,Canvas Print,44.17
ORDER00191,CUST0131,2025-09-10,Flyer,9.78
ORDER00735,CUST0004,2025-09-10,Canvas Print,46.51
ORDER00940,CUST0146,2025-09-10,Photo Book,28.26
ORDER00050,CUST0143,2025-09-11,Canvas Print,41.96
ORDER00380,CUST0082,2025-09-11,Flyer,11.47
ORDER00695,CUST0251,2025-09-11,Canvas Print,44.06
ORDER00323,CUST0148,2025-09-12,Business Card,11.9
ORDER00647,CUST0095,2025-09-12,Business Card,13.82
ORDER00661,CUST0160,2025-09-12,Poster,14.35
ORDER00846,CUST0157,2025-09-12,Flyer,9.49
ORDER00184,CUST0113,2025-09-13,Flyer,8.59
ORDER00197,CUST0288,2025-09-13,Greeting Card,4.06
ORDER00441,CUST0052,2025-09-13,Photo Book,25.44
ORDER00952,CUST0298,2025-09-13,Photo Book,22.16
ORDER00434,CUST0198,2025-09-14,Flyer,9.87
ORDER00869,CUST0192,2025-09-14,Flyer,11.99
ORDER00041,CUST0296,2025-09-15,Poster,17.35
ORDER00938,CUST0106,2025-09-15,Business Card,13.18
ORDER00995,CUST0149,2025-09-15,Poster,13.46
ORDER00385,CUST0159,2025-09-16,Business Card,11.41
ORDER00620,CUST0008,2025-09-16,Canvas Print,47.3
ORDER00391,CUST0293,2025-09-17,Canvas Print,46.88
ORDER00966,CUST0271,2025-09-17,Poster,17.31
ORDER00351,CUST0012,2025-09-18,Greeting Card,4.47
ORDER00358,CUST0198,2025-09-18,Business Card,11.53
ORDER00512,CUST0168,2025-09-18,Business Card,10.39
ORDER00222,CUST0161,2025-09-19,Photo Book,27.35
ORDER00984,CUST0202,2025-09-19,Photo Book,23.45
ORDER00229,CUST0188,2025-09-20,Greeting Card,5.71
ORDER00487,CUST0025,2025-09-20,Business Card,13.92
ORDER00496,CUST0176,2025-09-20,Greeting Card,4.48
ORDER00238,CUST0261,2025-09-21,Greeting Card,5.49
ORDER00408,CUST0274,2025-09-21,Photo Book,23.85
ORDER00848,CUST0086,2025-09-21,Greeting Card,5.25
ORDER00982,CUST0060,2025-09-21,Photo Book,22.97
ORDER00097,CUST0283,2025-09-22,Greeting Card,5.6
ORDER00154,CUST0177,2025-09-22,Photo Book,26.46
ORDER00623,CUST0174,2025-09-22,Poster,13.35
ORDER00113,CUST0133,2025-09-23,Canvas Print,33.85
ORDER00046,CUST0179,2025-09-24,Greeting Card,4.48
ORDER00515,CUST0059,2025-09-25,Flyer,11.79
ORDER00683,CUST0106,2025-09-25,Canvas Print,36.05
ORDER00811,CUST0293,2025-09-25,Business Card,12.51
ORDER00011,CUST0084,2025-09-26,Flyer,10.95
ORDER00170,CUST0141,2025-09-26,Greeting Card,5.12
ORDER00598,CUST0236,2025-09-26,Flyer,9.98
ORDER00951,CUST0241,2025-09-26,Poster,16.97
ORDER01000,CUST0011,2025-09-28,Flyer,11.94
ORDER00796,CUST0001,2025-09-30,Photo Book,23.25
ORDER00801,CUST0175,2025-09-30,Poster,17.86
ORDER00970,CUST0170,2025-09-30,Business Card,9.66
ORDER00976,CUST0293,2025-09-30,Business Card,11.95
